Record Id,Record Id (Revenue Forecast),Record Id (Account Name),Revenue Type,Account Owner,Independent Rep,Market,Products of Interest,Account Name (Account Name),Amount Expected,Amount Received,Revenue Month-Year, Updated forecast ,Sales comments,Opportunity Name,
zcrm_3679507000160381012,zcrm_3679507000160381013,zcrm_3679507000001246188,SOW,Jeff Rogers,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,RN Chidakashi Technologies Pvt. Ltd,"$ 35,000.00",,2023！05, $-   ,,SOW for new wake word and data,
zcrm_3679507000160362010,zcrm_3679507000160362013,zcrm_3679507000142202032,Royalty,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Bothlent,"$ 1,000.00",,2023！09,"$ 1,000.00",,Custom WW of Portuguous for OTT,
zcrm_3679507000160362010,zcrm_3679507000160362014,zcrm_3679507000142202032,Royalty,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Bothlent,"$ 1,000.00",,2023！12,"$ 1,000.00",,Custom WW of Portuguous for OTT,
zcrm_3679507000160362010,zcrm_3679507000160362011,zcrm_3679507000142202032,SOW,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Bothlent,"$ 1,000.00",,2023！07,"$ 1,000.00",,Custom WW of Portuguous for OTT,
zcrm_3679507000160362010,zcrm_3679507000160362012,zcrm_3679507000142202032,License Fee,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Bothlent,"$ 1,000.00",,2023！08,"$ 1,000.00",,Custom WW of Portuguous for OTT,
zcrm_3679507000159965048,zcrm_3679507000159965049,zcrm_3679507000156259070,Other,Jeff Rogers,,FinTech/ Enterprise/ Banking,TrulyHandsFree,Mossa Holdings LLC,"$ 48,000.00",,2023！05,,,Golfing application,
zcrm_3679507000159822063,zcrm_3679507000159822064,zcrm_3679507000156982136,License Fee,Bernie Brafman,,Other,TrulyHandsFree,Triton Sensors LLC,"$ 20,000.00",,2023！05,,,"1.	3D SENSE PRO VAPE DETECTOR AND SCHOOL SAFETY DEVICE",
zcrm_3679507000159356347,zcrm_3679507000159356348,zcrm_3679507000001241131,Support,Bernie Brafman,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree; TrulyNatural,Magic Leap Inc.,"$ 5,000.00","$ 5,000.00",2023！04,,,20 Hours Support PO,
zcrm_3679507000159236049,zcrm_3679507000159236050,zcrm_3679507000001246230,SDK,Simon Jeong,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,LG Uplus,"$ 2,500.00",,2023！05,,,EZVIZ Network THF DA SDK for LG Uplus_JBL Soundbar + STB,
zcrm_3679507000159190058,zcrm_3679507000159190059,zcrm_3679507000001246182,Royalty,San Yuen,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree; Speech to text; Text to Speech,Cyber Workshop,"$ 2,000.00",,2023！08,,,CBW AIChat TWS/speaker,
zcrm_3679507000159190058,zcrm_3679507000159190060,zcrm_3679507000001246182,Royalty,San Yuen,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree; Speech to text; Text to Speech,Cyber Workshop,"$ 5,000.00",,2023！10,,,CBW AIChat TWS/speaker,
zcrm_3679507000159190058,zcrm_3679507000159190061,zcrm_3679507000001246182,Royalty,San Yuen,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree; Speech to text; Text to Speech,Cyber Workshop,"$ 5,000.00",,2023！12,,,CBW AIChat TWS/speaker,
zcrm_3679507000159190016,zcrm_3679507000159190017,zcrm_3679507000144145001,Royalty,San Yuen,Cyberworkshop,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree; Speech to text; Text to Speech,VTECH,"$ 2,000.00",,2023！09,,,Vtech VOIP phone Sensory cloud,
zcrm_3679507000159190016,zcrm_3679507000159190018,zcrm_3679507000144145001,Royalty,San Yuen,Cyberworkshop,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree; Speech to text; Text to Speech,VTECH,"$ 10,000.00",,2023！11,,,Vtech VOIP phone Sensory cloud,
zcrm_3679507000159100546,zcrm_3679507000159100547,zcrm_3679507000001241099,SDK,Bernie Brafman,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree; TrulySecureVoice; TrulyNatural,Loose Cannon Systems,"$ 2,500.00","$ 2,500.00",2023！04,,,SDK,
zcrm_3679507000158428084,zcrm_3679507000158428085,zcrm_3679507000001246149,SOW,Kurt Zhang,,AR/VR/Gaming,TrulyHandsFree; Speech to text; Text to Speech,GoerTek Inc,"$ 2,000.00",,2023！10,"$ 2,000.00",,"Goertek AR Glass with THF WW, and SensoryCloud STT&TTS capable of ChatGPT",
zcrm_3679507000158428084,zcrm_3679507000158428086,zcrm_3679507000001246149,Royalty,Kurt Zhang,,AR/VR/Gaming,TrulyHandsFree; Speech to text; Text to Speech,GoerTek Inc,"$ 2,000.00",,2023！12,"$ 2,000.00",,"Goertek AR Glass with THF WW, and SensoryCloud STT&TTS capable of ChatGPT",
zcrm_3679507000158168035,zcrm_3679507000158168036,zcrm_3679507000155390176,License Fee,Jeff Rogers,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,"Telly, Inc.","$ 10,000.00","$ 10,000.00",2023！04,,,Free Telly,
zcrm_3679507000158168035,zcrm_3679507000158168037,zcrm_3679507000155390176,Royalty,Jeff Rogers,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,"Telly, Inc.","$ 50,000.00",,2023！09,,,Free Telly,
zcrm_3679507000158168035,zcrm_3679507000158168038,zcrm_3679507000155390176,Royalty,Jeff Rogers,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,"Telly, Inc.",$ 0.00,,2023！12,,,Free Telly,
zcrm_3679507000158044159,zcrm_3679507000158044160,zcrm_3679507000157974045,Royalty,Kurt Zhang,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,"Shenzhen Sei Robotics Co.,Ltd","$ 1,000.00",,2023！09,"$ 1,000.00",,Custom branded wakeword on HiFi5 for FreeTelly(a KODI project),
zcrm_3679507000158044159,zcrm_3679507000158044162,zcrm_3679507000157974045,Royalty,Kurt Zhang,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,"Shenzhen Sei Robotics Co.,Ltd","$ 2,000.00",,2023！12,"$ 2,000.00",,Custom branded wakeword on HiFi5 for FreeTelly(a KODI project),
zcrm_3679507000158044047,zcrm_3679507000158044048,zcrm_3679507000005748001,SOW,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,Sound ID revalidation,OPPO,$ 0.00,,2023！05,$ 0.00,,SoundID for Vehicles,
zcrm_3679507000158044047,zcrm_3679507000158044049,zcrm_3679507000005748001,License Fee,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,Sound ID revalidation,OPPO,$ 0.00,,2023！08,$ 0.00,,SoundID for Vehicles,
zcrm_3679507000158044047,zcrm_3679507000158044050,zcrm_3679507000005748001,Royalty,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,Sound ID revalidation,OPPO,$ 0.00,,2023！06,$ 0.00,,SoundID for Vehicles,
zcrm_3679507000158044047,zcrm_3679507000158044051,zcrm_3679507000005748001,Royalty,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,Sound ID revalidation,OPPO,$ 0.00,,2023！09,$ 0.00,,SoundID for Vehicles,
zcrm_3679507000158044047,zcrm_3679507000158044052,zcrm_3679507000005748001,Royalty,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,Sound ID revalidation,OPPO,$ 0.00,,2023！12,$ 0.00,,SoundID for Vehicles,
zcrm_3679507000157753265,zcrm_3679507000157753266,zcrm_3679507000001246271,License Fee,Osamu Kurihara,Sensory - Japan,Automotive,TrulyHandsFree,Pioneer Corporation,"$ 27,000.00",,2023！08,,,Pioneer - Smartphone App for motorcycle intercom,
zcrm_3679507000157753234,zcrm_3679507000157753235,zcrm_3679507000001246271,License Fee,Osamu Kurihara,Sensory - Japan,Automotive,TrulyHandsFree; TrulyNatural,Pioneer Corporation,$ 0.00,,2023！08,,,Pioneer - Display Audio for NA market,
zcrm_3679507000157712176,zcrm_3679507000157712177,zcrm_3679507000155963160,License Fee,Bernie Brafman,,Medical/ Healthcare,TrulyHandsFree,care.ai,"$ 20,000.00",,2023！05,,,care.ai Smart Care Facility Platform,
zcrm_3679507000156323105,zcrm_3679507000156323106,zcrm_3679507000001246260,SOW,Bernie Brafman,,Chip/Noise Partner,TrulyHandsFree,XMOS Limited,"$ 40,000.00","$ 40,000.00",2023！04,,,xcore.ai port upgrade,
zcrm_3679507000155963044,zcrm_3679507000155963045,zcrm_3679507000002309039,SOW,Bernie Brafman,,Other,TrulyHandsFree,"Motorola Solutions, Inc.","$ 38,500.00",,2023！07,,,French Canadian SOW,
zcrm_3679507000155880001,zcrm_3679507000155880002,zcrm_3679507000001241131,SOW,Bernie Brafman,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree,Magic Leap Inc.,"$ 101,000.00",,2023！06,,,Multi Accent Wakeword,
zcrm_3679507000155634081,zcrm_3679507000155634082,zcrm_3679507000154277001,License Fee,Bernie Brafman,,Medical/ Healthcare,TrulyHandsFree; TrulyNatural,Waygate Technologies LP,"$ 50,000.00",,2023！05,,,Borescope,
zcrm_3679507000155634081,zcrm_3679507000155634083,zcrm_3679507000154277001,Royalty,Bernie Brafman,,Medical/ Healthcare,TrulyHandsFree; TrulyNatural,Waygate Technologies LP,"$ 75,000.00",,2023！09,,,Borescope,
zcrm_3679507000155064014,zcrm_3679507000155064015,zcrm_3679507000132442015,SOW,Jeff Rogers,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Havells India Limited,"$ 34,000.00",,2023！05,,,Havells Fan and Water Heater SOW,
zcrm_3679507000153262016,zcrm_3679507000153262017,zcrm_3679507000153142013,SOW,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree,Insta360,"$ 3,000.00",,2023！07,$ 0.00,Delayed,VUI for action cameras,
zcrm_3679507000153262016,zcrm_3679507000158044002,zcrm_3679507000153142013,License Fee,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree,Insta360,"$ 5,000.00",,2023！09,"$ 5,000.00",,VUI for action cameras,
zcrm_3679507000153262016,zcrm_3679507000158044003,zcrm_3679507000153142013,Royalty,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree,Insta360,"$ 5,000.00",,2023！12,"$ 5,000.00",,VUI for action cameras,
zcrm_3679507000152772024,zcrm_3679507000152772025,zcrm_3679507000145143044,SOW,Joe Gianelli,,Chip/Noise Partner,Speech to text; Text to Speech,Xilinx/AMD,"$ 200,000.00",,2023！06,,,SensoryCloud STT porting,
zcrm_3679507000152354039,zcrm_3679507000152354040,zcrm_3679507000032822018,SOW,Osamu Kurihara,Other,Automotive,TrulyHandsFree,"Honda Motor Co., Ltd.","$ 200,000.00",,2023！05,,,Honda - SOW Tuning Siri models for 5 languages,
zcrm_3679507000152232061,zcrm_3679507000152232077,zcrm_3679507000148927013,License Fee,Sam Taban,,Other,TrulyHandsFree,Terrafix Ltd,"$ 10,000.00",,2023！09,,,Terrafix Ltd SDK,
zcrm_3679507000152215083,zcrm_3679507000152215084,zcrm_3679507000152215031,SOW,Kurt Zhang,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Tymphany,"$ 3,000.00",,2023！08,"$ 3,000.00",,Embedded wakeword and voice command sets for Wifi smart speaker,
zcrm_3679507000150132238,zcrm_3679507000150132239,zcrm_3679507000140761027,License Fee,Simon Jeong,ReignCom Tech LTD,Automotive,TrulyHandsFree,"Kido Sports Co., Ltd.","$ 50,000.00",,2023！09,,,Kido Bike Smart Helmet,
zcrm_3679507000150132238,zcrm_3679507000150132240,zcrm_3679507000140761027,Royalty,Simon Jeong,ReignCom Tech LTD,Automotive,TrulyHandsFree,"Kido Sports Co., Ltd.","$ 7,000.00",,2023！12,,,Kido Bike Smart Helmet,
zcrm_3679507000150132165,zcrm_3679507000150132167,zcrm_3679507000001246230,Royalty,Simon Jeong,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,LG Uplus,$ 0.00,,2023！09,,,LG Uplus Home Camera,
zcrm_3679507000150132165,zcrm_3679507000150132168,zcrm_3679507000001246230,Royalty,Simon Jeong,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,LG Uplus,"$ 3,720.00",,2023！12,,,LG Uplus Home Camera,
zcrm_3679507000149179057,zcrm_3679507000149179073,zcrm_3679507000049959028,Royalty,San Yuen,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Hallmark Hong Kong,"$ 10,000.00",,2023！11,,,Hallmark ISB2.0,
zcrm_3679507000149109005,zcrm_3679507000149109006,zcrm_3679507000001246202,License Fee,Osamu Kurihara,Sensory - Japan,Automotive,TrulyHandsFree; TrulyNatural,JVC KENWOOD Corporation,$ 0.00,,2023！07,,,JVC - Saisoku Car Navigation (After market),
zcrm_3679507000149109005,zcrm_3679507000149109009,zcrm_3679507000001246202,Royalty,Osamu Kurihara,Sensory - Japan,Automotive,TrulyHandsFree; TrulyNatural,JVC KENWOOD Corporation,$ 0.00,,2023！07,,,JVC - Saisoku Car Navigation (After market),
zcrm_3679507000148846069,zcrm_3679507000148846072,zcrm_3679507000145974176,Royalty,Sam Taban,,IoT/ Appliance/ Consumer & Home Electronics,TrulySecureFace; TrulySecureVoice,Giesecke+Devrient (G+D),"$ 100,000.00",,2023！09,,,Voice & Face Biometrics,
zcrm_3679507000148846069,zcrm_3679507000148846073,zcrm_3679507000145974176,Royalty,Sam Taban,,IoT/ Appliance/ Consumer & Home Electronics,TrulySecureFace; TrulySecureVoice,Giesecke+Devrient (G+D),"$ 20,000.00",,2023！12,,,Voice & Face Biometrics,
zcrm_3679507000148617001,zcrm_3679507000159824080,zcrm_3679507000132442015,SOW,Jeff Rogers,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Havells India Limited,,"$ 2,600.00",2023！04,,,AC SOW,
zcrm_3679507000148412052,zcrm_3679507000148412054,zcrm_3679507000001246182,Royalty,San Yuen,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Cyber Workshop,"$ 4,000.00",,2023！09,,,Magic fairy ball,
zcrm_3679507000148070010,zcrm_3679507000148070011,zcrm_3679507000126799212,License Fee,Jeff Rogers,,Automotive,TrulyHandsFree,"DSP Concepts, Inc.","$ 150,000.00",,2023！09,,,BMW,
zcrm_3679507000147320005,zcrm_3679507000147320006,zcrm_3679507000135944005,License Fee,Osamu Kurihara,Sensory - Japan,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Panasonic Corp. Electric Works Company,"$ 75,000.00",,2023！07,,,PanasonicEW - Intercom for Mansions,
zcrm_3679507000147320005,zcrm_3679507000147320007,zcrm_3679507000135944005,Royalty,Osamu Kurihara,Sensory - Japan,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Panasonic Corp. Electric Works Company,"$ 10,000.00",,2023！10,,,PanasonicEW - Intercom for Mansions,
zcrm_3679507000145797059,zcrm_3679507000145797060,zcrm_3679507000145638162,License Fee,San Yuen,,FinTech/ Enterprise/ Banking,TrulyHandsFree,QR Vietnam,"$ 10,000.00",,2023！09,,,smart phone voice password,
zcrm_3679507000145797007,zcrm_3679507000145797008,zcrm_3679507000001246159,License Fee,San Yuen,Cyberworkshop,Automotive,TrulyHandsFree,TCL Technology (HK) Co. Ltd.,"$ 10,000.00",,2023！11,,,local automobile THF control,
zcrm_3679507000144145007,zcrm_3679507000145797045,zcrm_3679507000144145001,Other,San Yuen,Cyberworkshop,IoT/ Appliance/ Consumer & Home Electronics,TrulyNatural; Wake word revalidation; TrulyHandsFree (Wake-word; Commands),VTECH,"$ 40,000.00",,2023！11,,,VTECH low power IOT wakeup with Truly Natural/STT,
zcrm_3679507000144145007,zcrm_3679507000144145046,zcrm_3679507000144145001,Royalty,San Yuen,Cyberworkshop,IoT/ Appliance/ Consumer & Home Electronics,TrulyNatural; Wake word revalidation; TrulyHandsFree (Wake-word; Commands),VTECH,"$ 40,000.00",,2023！09,,,VTECH low power IOT wakeup with Truly Natural/STT,
zcrm_3679507000143079007,zcrm_3679507000143079008,zcrm_3679507000001246200,SOW,Osamu Kurihara,Sensory - Japan,FinTech/ Enterprise/ Banking,TrulySecureFace,Fujitsu Limited,"$ 20,000.00",,2023！06,,,Fujitsu SOW - Development for NNL 8.0.1,
zcrm_3679507000142333159,zcrm_3679507000158044199,zcrm_3679507000001246149,Royalty,Kurt Zhang,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree,GoerTek Inc,"$ 2,000.00",,2023！12,"$ 2,000.00",,THF Micro for QCC5171 TWS and SensoryCloud STT with ChatGPT capability,
zcrm_3679507000137822001,zcrm_3679507000137822002,zcrm_3679507000137126155,Other,Osamu Kurihara,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,"Panasonic Entertainment & Communication Co.,Ltd.",$ 0.00,,2023！10,,,PanasonicEC - Home Intercom,
zcrm_3679507000137788009,zcrm_3679507000137788013,zcrm_3679507000130315055,Royalty,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,Speech to text,"Dalian CZUR Technology Co., Ltd","$ 1,000.00",,2023！09,"$ 1,000.00",,Sensory-hosted STT Cloud in English in Batch-processing Mode for Meeting Transcription,
zcrm_3679507000137535015,zcrm_3679507000137965039,zcrm_3679507000001246184,Royalty,San Yuen,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree; Text to Speech,WATA Acoustics,"$ 12,750.00",,2023！04,,,QCC5126 TTS SX Geode,
zcrm_3679507000135959001,zcrm_3679507000144376094,zcrm_3679507000126966146,Other,Sam Taban,,Other,Sound ID revalidation,Ellona,"$ 5,000.00",,2023！12,,,Ellona SoundId,
zcrm_3679507000135434014,zcrm_3679507000135434019,zcrm_3679507000080568089,Royalty,Kurt Zhang,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Robotemi Ltd,"$ 1,500.00",,2023！06,"$ 1,500.00",,Two-year Royalties of THF&VoiceHub for Personal Robots by Temi,
zcrm_3679507000135434014,zcrm_3679507000135434020,zcrm_3679507000080568089,Royalty,Kurt Zhang,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Robotemi Ltd,"$ 2,000.00",,2023！09,"$ 2,000.00",,Two-year Royalties of THF&VoiceHub for Personal Robots by Temi,
zcrm_3679507000135434014,zcrm_3679507000135434021,zcrm_3679507000080568089,Royalty,Kurt Zhang,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Robotemi Ltd,"$ 2,500.00",,2023！12,"$ 2,500.00",,Two-year Royalties of THF&VoiceHub for Personal Robots by Temi,
zcrm_3679507000133309592,zcrm_3679507000134225025,zcrm_3679507000130403019,Royalty,Sam Taban,,Other,TrulyHandsFree,RTX A/S,$ 295.00,$ 295.00,2023！04,,,THF Wireless DECT Headset,
zcrm_3679507000133309592,zcrm_3679507000134225026,zcrm_3679507000130403019,Royalty,Sam Taban,,Other,TrulyHandsFree,RTX A/S,"$ 5,000.00",,2023！09,,,THF Wireless DECT Headset,
zcrm_3679507000133309592,zcrm_3679507000134225027,zcrm_3679507000130403019,Royalty,Sam Taban,,Other,TrulyHandsFree,RTX A/S,"$ 10,000.00",,2023！12,,,THF Wireless DECT Headset,
zcrm_3679507000127721001,zcrm_3679507000127721003,zcrm_3679507000001246202,Royalty,Osamu Kurihara,Sensory - Japan,Automotive,TrulyHandsFree,JVC KENWOOD Corporation,$ 0.00,,2023！06,,,JVC - Enhanced Siri + Custom WW plus Commands for Japan market.,
zcrm_3679507000127721001,zcrm_3679507000127721005,zcrm_3679507000001246202,Royalty,Osamu Kurihara,Sensory - Japan,Automotive,TrulyHandsFree,JVC KENWOOD Corporation,$ 0.00,,2023！09,,,JVC - Enhanced Siri + Custom WW plus Commands for Japan market.,
zcrm_3679507000127721001,zcrm_3679507000128885068,zcrm_3679507000001246202,Royalty,Osamu Kurihara,Sensory - Japan,Automotive,TrulyHandsFree,JVC KENWOOD Corporation,$ 0.00,,2023！12,,,JVC - Enhanced Siri + Custom WW plus Commands for Japan market.,
zcrm_3679507000127721001,zcrm_3679507000127721002,zcrm_3679507000001246202,License Fee,Osamu Kurihara,Sensory - Japan,Automotive,TrulyHandsFree,JVC KENWOOD Corporation,$ 0.00,,2023！04,,,JVC - Enhanced Siri + Custom WW plus Commands for Japan market.,
zcrm_3679507000126343001,zcrm_3679507000145797030,zcrm_3679507000121069040,Royalty,San Yuen,Cyberworkshop,IoT,TrulyHandsFree; TrulySecureVoice,OLLI TECHNOLOGY CORP.,"$ 9,000.00",,2023！08,,,Olli TSSV w/wo THF,
zcrm_3679507000125528036,zcrm_3679507000155161179,zcrm_3679507000098471115,SOW,Jeff Rogers,,Automotive,TrulyHandsFree,Harman,"$ 400,000.00",,2023！07,,,BMW,
zcrm_3679507000125528036,zcrm_3679507000148070002,zcrm_3679507000098471115,License Fee,Jeff Rogers,,Automotive,TrulyHandsFree,Harman,"$ 250,000.00",,2023！09,,,BMW,
zcrm_3679507000125199063,zcrm_3679507000128921109,zcrm_3679507000001894015,Royalty,San Yuen,Cyberworkshop,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree,VTech Telecom,"$ 25,000.00",,2023！09,,,VTech VR headset,
zcrm_3679507000125199047,zcrm_3679507000128921096,zcrm_3679507000001246268,Royalty,San Yuen,Cyberworkshop,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,VTech Electronics Limited,"$ 10,000.00",,2023！12,,,Vtech 2023 toys,
zcrm_3679507000117341058,zcrm_3679507000150807040,zcrm_3679507000110378045,Royalty,Jeff Rogers,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree,Optus Mobile Pty Limited,"$ 3,000.00",,2023！12,,,Hey Optus running in cloud,
zcrm_3679507000117341058,zcrm_3679507000150807037,zcrm_3679507000110378045,Royalty,Jeff Rogers,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree,Optus Mobile Pty Limited,$ 500.00,$ 484.80,2023！04,,,Hey Optus running in cloud,
